epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,105.081,0.56259,0.35522,1.49376,0.88801,0,0.95647,0.88174,0.92626,0.81329,0.95635,0.88162,0.92375,0.71551,0.4807,0.30978,0.56713,0.8067,0,0.00996835,0.00332278,0.00996835,0.00332278,0.00996835,0.00332278,0.00996835,0.00332278
2,169.336,0.42805,0.11565,0.50561,0.84674,0,0.9416,0.91701,0.93765,0.85633,0.94148,0.91689,0.93598,0.75073,0.39064,0.21927,0.39904,0.80189,0,0.0197707,0.00659022,0.0197707,0.00659022,0.0197707,0.00659022,0.0197707,0.00659022
3,227.984,0.42443,0.11461,0.4434,0.84682,0,0.92321,0.91327,0.92785,0.83703,0.92309,0.91315,0.92896,0.74699,0.41329,0.27695,0.3679,0.79577,0,0.029375,0.00979166,0.029375,0.00979166,0.029375,0.00979166,0.029375,0.00979166
4,286.498,0.35388,0.10549,0.34747,0.83156,0,0.94918,0.91767,0.94234,0.89962,0.94924,0.91746,0.9414,0.74135,0.27292,0.22548,0.274,0.78474,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,344.913,0.28796,0.09375,0.27008,0.81595,0,0.98078,0.92232,0.9512,0.9184,0.9809,0.92227,0.95159,0.74269,0.23191,0.21069,0.22448,0.77639,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,403.943,0.25478,0.09166,0.23275,0.81032,0,0.96975,0.90366,0.93893,0.90887,0.96975,0.90366,0.9403,0.73768,0.22298,0.24449,0.21892,0.77872,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,462.123,0.23117,0.08901,0.21124,0.80922,0,0.97492,0.92027,0.95709,0.92956,0.97432,0.91955,0.95801,0.7423,0.2004,0.23614,0.19916,0.77078,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,520.387,0.2144,0.08358,0.19493,0.8046,0,0.95933,0.90509,0.95313,0.92498,0.95921,0.90499,0.95185,0.75426,0.20019,0.21049,0.19986,0.77336,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,579.05,0.20273,0.08741,0.18235,0.80269,0,0.96939,0.93812,0.95838,0.93878,0.96857,0.93731,0.95946,0.74569,0.17932,0.18064,0.17413,0.77444,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,636.973,0.19239,0.08345,0.17227,0.80103,0,0.98508,0.94501,0.96902,0.93797,0.98812,0.93856,0.9662,0.76053,0.18736,0.21377,0.16459,0.77082,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,695.327,0.18576,0.08152,0.16667,0.79843,0,0.98263,0.92964,0.96307,0.93781,0.98177,0.92859,0.96555,0.75754,0.17869,0.19523,0.16649,0.77216,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,754.444,0.17946,0.08289,0.15836,0.79745,0,0.94087,0.91154,0.94529,0.92637,0.94108,0.91139,0.9459,0.74567,0.16901,0.19903,0.17407,0.76628,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,812.933,0.1738,0.08276,0.15453,0.7969,0,0.96501,0.91192,0.94804,0.92852,0.96489,0.91181,0.94789,0.74773,0.17349,0.20402,0.16874,0.76878,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,871.548,0.17034,0.07921,0.15007,0.79651,0,0.98362,0.94349,0.96846,0.9418,0.9818,0.94056,0.96437,0.7556,0.1676,0.20626,0.15268,0.76338,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,930.118,0.16511,0.07968,0.14607,0.79527,0,0.94739,0.93249,0.95865,0.93564,0.94754,0.93179,0.95523,0.74553,0.16632,0.18076,0.1655,0.76664,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,988.523,0.16241,0.07888,0.14349,0.79471,0,0.98532,0.93739,0.96547,0.94088,0.98493,0.93652,0.96189,0.7548,0.16639,0.18278,0.14508,0.76966,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1047,0.15879,0.07877,0.13893,0.79371,0,0.97165,0.92373,0.95621,0.93596,0.97145,0.92316,0.95435,0.74987,0.16255,0.18765,0.14052,0.76872,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1105.69,0.15614,0.07742,0.1366,0.79382,0,0.9677,0.92285,0.95593,0.936,0.96704,0.92218,0.95392,0.74257,0.16056,0.20251,0.15404,0.76521,0,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1164.49,0.15347,0.07654,0.13343,0.79314,0,0.98958,0.94062,0.96103,0.94007,0.98876,0.93972,0.96245,0.7551,0.16032,0.22281,0.13903,0.7629,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1222.91,0.15078,0.07515,0.13134,0.79409,0,0.98074,0.95344,0.97029,0.94736,0.97783,0.95194,0.9704,0.75175,0.15547,0.20722,0.13613,0.76348,0,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1281.44,0.14983,0.07562,0.13099,0.79172,0,0.96809,0.94684,0.96686,0.9443,0.96692,0.94546,0.96136,0.74967,0.15216,0.18554,0.13052,0.76188,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1339.93,0.14573,0.07403,0.12688,0.79281,0,0.97346,0.95326,0.97141,0.94323,0.97211,0.9517,0.96706,0.75616,0.15442,0.18238,0.12873,0.75852,0,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1398.86,0.14636,0.07547,0.12894,0.79067,0,0.97296,0.94133,0.96711,0.9466,0.97344,0.93975,0.96387,0.75681,0.15056,0.17562,0.12936,0.75879,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1458.04,0.14286,0.0747,0.12582,0.79151,0,0.98445,0.94098,0.97131,0.94647,0.98414,0.94048,0.96812,0.75297,0.15621,0.17422,0.12955,0.76292,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,1516.51,0.14187,0.0707,0.12325,0.79166,0,0.9636,0.95168,0.96959,0.94458,0.96253,0.9506,0.96499,0.74836,0.1501,0.19247,0.12747,0.76147,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,1575.01,0.13992,0.07351,0.12239,0.79077,0,0.9879,0.95169,0.97319,0.94678,0.98875,0.95043,0.97041,0.75808,0.15051,0.1673,0.12085,0.76126,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,1633.15,0.13816,0.0711,0.12092,0.79031,0,0.99338,0.94014,0.96776,0.944,0.99298,0.93934,0.96515,0.75408,0.15404,0.20831,0.12404,0.75804,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,1691.96,0.13722,0.06922,0.11896,0.79044,0,0.96094,0.94345,0.96582,0.94157,0.96148,0.94193,0.96034,0.75223,0.14979,0.19008,0.13649,0.75778,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,1750.36,0.13573,0.07144,0.1188,0.78962,0,0.99269,0.94241,0.97183,0.94795,0.99276,0.94123,0.96988,0.75864,0.15027,0.19651,0.11707,0.76085,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,1809.37,0.13454,0.0691,0.11676,0.78957,0,0.96418,0.91693,0.9609,0.93943,0.96418,0.91693,0.96017,0.75982,0.14738,0.18711,0.13127,0.7585,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,1867.7,0.13334,0.07012,0.11667,0.79067,0,0.98652,0.94444,0.96794,0.94762,0.98665,0.94335,0.96689,0.75328,0.14939,0.19637,0.11885,0.75987,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,1926.34,0.132,0.07026,0.11413,0.78852,0,0.99122,0.94399,0.96913,0.94856,0.99063,0.94343,0.96372,0.75529,0.13968,0.1716,0.11688,0.76019,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,1984.92,0.13082,0.06699,0.11335,0.78918,0,0.98527,0.94595,0.9702,0.94783,0.98459,0.94322,0.96613,0.75451,0.1446,0.1915,0.11503,0.75961,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2044,0.13039,0.06766,0.11071,0.79006,0,0.99466,0.95126,0.97136,0.94631,0.99335,0.94991,0.96662,0.75858,0.14282,0.18648,0.10725,0.75979,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,2103.02,0.12846,0.0668,0.1089,0.79022,0,0.99088,0.95361,0.97294,0.95083,0.98973,0.95202,0.96714,0.75442,0.14081,0.1683,0.1086,0.75917,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,2161.65,0.12821,0.06739,0.10851,0.78934,0,0.98487,0.94742,0.9749,0.9481,0.98773,0.94462,0.96758,0.75531,0.14093,0.18016,0.10631,0.75919,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,2220.95,0.12645,0.06576,0.10781,0.78823,0,0.97923,0.96504,0.97655,0.95143,0.97944,0.96025,0.97032,0.75938,0.14282,0.17977,0.10811,0.76077,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
